date, pm25, pm10, o3, no2, so2, co
2023/1/2, 55, 13, 22, 4, 4, 
2023/1/3, 28, 20, 16, 8, 3, 
2023/1/4, 43, 8, 20, 3, 3, 
2023/1/5, 18, 18, 17, 6, 3, 
2023/1/6, 46, 14, 13, 6, 3, 
2023/1/7, 40, , , , , 
2022/10/1, 54, 10, 18, 1, 2, 
2022/10/2, 21, 12, 23, 3, 2, 
2022/10/3, 27, 14, 18, 4, 2, 
2022/10/4, 25, 27, 11, 8, 2, 
2022/10/5, 43, 25, 24, 7, 2, 
2022/10/6, 42, 38, 23, 11, 2, 
2022/10/7, 52, 36, 22, 6, 2, 
2022/10/8, 56, 16, 18, 4, 2, 
2022/10/9, 26, 27, 17, 7, 2, 
2022/10/10, 45, 29, 21, 7, 2, 
2022/10/11, 49, 44, 17, 12, 2, 
2022/10/12, 66, 39, 21, 11, 2, 
2022/10/13, 61, 46, 13, 12, 3, 
2022/10/14, 74, 40, 11, 7, 2, 
2022/10/15, 71, 24, 8, 5, 2, 
2022/10/16, 50, 42, 15, 7, 2, 
2022/10/17, 75, 31, 9, 8, 2, 
2022/10/18, 64, 14, 20, 3, 2, 
2022/10/19, 25, 28, 16, 11, 3, 
2022/10/20, 55, 31, 5, 12, 4, 
2022/10/21, 61, 28, 4, 6, 2, 
2022/10/22, 60, 19, 13, 4, 2, 
2022/10/23, 43, 31, 5, 8, 2, 
2022/10/24, 56, 25, 11, 6, 2, 
2022/10/25, 42, 25, 8, 7, 2, 
2022/10/26, 50, 36, 6, 9, 2, 
2022/10/27, 69, 37, 3, 9, 2, 
2022/10/28, 67, 28, 16, 6, 2, 
2022/10/29, 51, 32, 10, 8, 2, 
2022/10/30, 58, 30, 1, 8, 2, 
2022/10/31, 63, 34, 7, 6, 2, 
2022/11/1, 60, 25, 19, 5, 2, 
2022/11/2, 42, 26, 13, 9, 3, 
2022/11/3, 40, 32, 10, 10, 3, 
2022/11/4, 57, 24, 14, 7, 2, 
2022/11/5, 49, 29, 16, 6, 2, 
2022/11/6, 56, 25, 7, 8, 2, 
2022/11/7, 51, 24, 10, 8, 3, 
2022/11/8, 44, 33, 7, 10, 2, 
2022/11/9, 62, 27, 14, 9, 2, 
2022/11/10, 50, 16, 16, 2, 2, 
2022/11/11, 28, 19, 15, 4, 2, 
2022/11/12, 41, 19, 13, 4, 2, 
2022/11/13, 47, 28, 13, 6, 2, 
2022/11/14, 60, 39, 10, 8, 2, 
2022/11/15, 80, 15, 9, 4, 2, 
2022/11/16, 38, 19, 10, 7, 2, 
2022/11/17, 43, 18, 12, 6, 2, 
2022/11/18, 39, 28, 9, 9, 3, 
2022/11/19, 66, 25, 8, 8, 3, 
2022/11/20, 63, 39, 6, 12, 5, 
2022/11/21, 99, 43, 5, 12, 7, 
2022/11/22, 89, 42, 3, 12, 6, 
2022/11/23, 82, 42, 1, 11, 10, 
2022/11/24, 86, 33, 1, 9, 4, 
2022/11/25, 75, 41, 1, 9, 5, 
2022/11/26, 88, 30, 2, 8, 4, 
2022/11/27, 70, 37, 3, 11, 5, 
2022/11/28, 79, 35, 8, 10, 5, 
2022/11/29, 74, 35, 9, 11, 6, 
2022/11/30, 75, 27, 6, 12, 5, 
2022/12/1, 62, 33, 9, 7, 3, 
2022/12/2, 66, 43, 7, 7, 4, 
2022/12/3, 86, 39, 4, 7, 4, 
2022/12/4, 79, 31, 6, 9, 5, 
2022/12/5, 68, 40, , 7, 4, 
2022/12/6, 81, 14, 17, 5, 3, 
2022/12/7, 39, 25, 16, 10, 3, 
2022/12/8, 59, 28, 4, 11, 3, 
2022/12/9, 67, 21, 16, 7, 3, 
2022/12/10, 54, 13, 18, 4, 3, 
2022/12/11, 36, 14, 14, 6, 4, 
2022/12/12, 33, 17, 13, 7, 5, 
2022/12/13, 43, 33, 10, 10, 4, 
2022/12/14, 73, 54, 6, 15, 7, 
2022/12/15, 113, 53, 13, 13, 5, 
2022/12/16, 110, 23, 14, 7, 4, 
2022/12/17, 57, 39, 11, 7, 4, 
2022/12/18, 85, 36, 13, 11, 6, 
2022/12/19, 77, 27, 11, 12, 5, 
2022/12/20, 65, 36, 6, 12, 4, 
2022/12/21, 75, 27, 2, 12, 4, 
2022/12/22, 62, 10, 8, 12, 3, 
2022/12/23, 25, , 5, , , 
2022/12/27, 41, 22, 13, 11, 4, 
2022/12/28, 44, 21, 11, 11, 4, 
2022/12/29, 47, 20, 16, 8, 4, 
2022/12/30, 42, 15, 16, 4, 4, 
2022/12/31, 37, 23, 18, 3, 3, 
2023/1/1, 49, 27, 14, 8, 3, 
2022/7/1, 46, 9, 34, 2, 1, 
2022/7/2, 25, 15, 41, 4, 1, 
2022/7/3, 34, 22, 43, 6, 1, 
2022/7/4, 40, 17, 40, 4, 1, 
2022/7/5, 31, 20, 33, 3, 1, 
2022/7/6, 39, 18, 36, 4, 1, 
2022/7/7, 31, 18, 25, 3, 1, 
2022/7/8, 30, 13, 27, 1, 1, 
2022/7/9, 22, 12, 21, 2, 1, 
2022/7/10, 22, 12, 19, 3, 1, 
2022/7/11, 23, 18, 28, 2, 1, 
2022/7/12, 28, 17, 40, 4, 1, 
2022/7/13, 31, 17, 30, 3, 1, 
2022/7/14, 28, 17, 29, 3, 1, 
2022/7/15, 26, 14, 25, 3, 1, 
2022/7/16, 24, 14, 30, 2, 1, 
2022/7/17, 25, 17, 31, 5, 1, 
2022/7/18, 33, 22, 45, 6, 1, 
2022/7/19, 42, 29, 51, 7, 1, 
2022/7/20, 50, 30, 62, 6, 2, 
2022/7/21, 49, 29, 46, 5, 1, 
2022/7/22, 53, 17, 31, 4, 1, 
2022/7/23, 40, 10, 30, 3, 1, 
